text,sentiment
The train arrives on platform two.,neutral
I will be there in five minutes.,neutral
The apples are fresh.,neutral
He is locking the door.,neutral
The news will start soon.,neutral
I have read that article.,neutral
The sidewalk is wet.,neutral
She is putting on her coat.,neutral
The office is closed on weekends.,neutral
I will take the later train.,neutral
The soup is still hot.,neutral
He is checking his watch.,neutral
The curtains are drawn.,neutral
I need to sharpen this pencil.,neutral
The elevator is out of order.,neutral
She is deleting old files.,neutral
The bridge is very old.,neutral
I will confirm the time.,neutral
The floor has been cleaned.,neutral
He is adjusting the thermostat.,neutral
The library has many books.,neutral
I need to renew my passport.,neutral
The clock is ticking.,neutral
She is organizing the files.,neutral
The highway is busy today.,neutral
I will pay by card.,neutral
The blanket is warm.,neutral
He is filling out a form.,neutral
The sun sets early in winter.,neutral
I have completed the task.,neutral
The pencil is dull.,neutral
She is sorting the mail.,neutral
The hotel offers free breakfast.,neutral
I will take a message.,neutral
The fence needs painting.,neutral
He is reviewing the notes.,neutral
The bakery smells wonderful.,neutral
I need to catch the last bus.,neutral
The pillow is soft.,neutral
She is saving the document.,neutral
The office is on the left.,neutral
I will make a note of that.,neutral
The river flows slowly here.,neutral
He is preparing a speech.,neutral
The gallery is open to the public.,neutral
I need to wash my hands.,neutral
The paper is white.,neutral
She is hanging a picture.,neutral
The airport is thirty minutes away.,neutral
I will wait for your answer.,neutral
The door is made of wood.,neutral
He is packing his bag.,neutral
The pharmacy is around the corner.,neutral
I have to walk the dog.,neutral
The glass is empty.,neutral
She is setting the table.,neutral
The station is being renovated.,neutral
I will finish this chapter.,neutral
The carpet is new.,neutral
He is downloading a file.,neutral
The streetlight just came on.,neutral
I need to charge my headphones.,neutral
The wall is painted beige.,neutral
She is making a copy.,neutral
The cafe serves good coffee.,neutral
I will try again later.,neutral
The fan is spinning.,neutral
He is writing down the address.,neutral
The building has ten floors.,neutral
I need to trim the hedges.,neutral
The plate is clean.,neutral
She is proofreading the text.,neutral
The pool is closed for cleaning.,neutral
I will forward that email.,neutral
The chair is comfortable.,neutral
He is searching for information.,neutral
The market is open every day.,neutral
I have to water the lawn.,neutral
The bottle is sealed.,neutral
She is updating the calendar.,neutral
The road leads to the city.,neutral
I will take the early flight.,neutral
The shelf is sturdy.,neutral
He is calibrating the instrument.,neutral
The seminar is in room five.,neutral
I need to buy some milk.,neutral
The napkin is folded.,neutral
She is restocking the shelves.,neutral
The ferry departs on the hour.,neutral
I will call back this afternoon.,neutral
The handle is loose.,neutral
He is compiling the data.,neutral
The fair starts next month.,neutral
I have to pick up a parcel.,neutral
The cup is chipped.,neutral
She is labeling the boxes.,neutral
The path is well maintained.,neutral
I will discuss it with the team.,neutral
The ladder is in the garage.,neutral
He is analyzing the results.,neutral
The exhibition ends on Sunday.,neutral
I need to fix this shelf.,neutral
The soap is almost gone.,neutral
She is archiving the folders.,neutral
The beach is public property.,neutral
I will arrive before six.,neutral
The rug is woven by hand.,neutral
He is sketching a diagram.,neutral
The workshop is very informative.,neutral
I have to return a book.,neutral
The bulb needs replacing.,neutral
She is verifying the details.,neutral
The mountain is visible from here.,neutral
I will prepare a summary.,neutral
The bolt is tight.,neutral
He is studying the manual.,neutral
The festival happens annually.,neutral
I need to dust the furniture.,neutral
The sponge is damp.,neutral
She is calculating the expenses.,neutral
The island is uninhabited.,neutral
I will follow up next week.,neutral
The hinge is squeaky.,neutral
He is monitoring the system.,neutral
The parade goes down Main Street.,neutral
I have to mail these letters.,neutral
The tape is sticky.,neutral
She is recording the minutes.,neutral
The valley is very green.,neutral
I will submit the form online.,neutral
The chain is strong.,neutral
He is inspecting the equipment.,neutral
The race begins at dawn.,neutral
I need to organize the closet.,neutral
The cloth is absorbent.,neutral
She is transcribing the interview.,neutral
The desert is extremely dry.,neutral
I will book a table for two.,neutral
The plug is standard size.,neutral
He is troubleshooting the issue.,neutral
The tour lasts two hours.,neutral
I have to clean the filter.,neutral
The cord is tangled.,neutral
She is reviewing the contract.,neutral
The forest is dense with pine trees.,neutral
I will schedule a meeting.,neutral
The knob is turned to the right.,neutral
He is conducting an experiment.,neutral
The match starts at seven thirty.,neutral
I need to replace the filter.,neutral
The lid is on tight.,neutral
She is planning the itinerary.,neutral
The harbor is full of boats.,neutral
I will send an invitation.,neutral
The needle is sharp.,neutral
He is measuring the distance.,neutral
The game is tied.,neutral
I have to update my software.,neutral
The thread is blue.,neutral
She is coordinating the event.,neutral
The meadow is full of wildflowers.,neutral
I will confirm my attendance.,neutral
The buckle is metal.,neutral
He is logging the entries.,neutral
The show is sold out.,neutral
I need to vacuum the stairs.,neutral
The zipper is stuck.,neutral
She is allocating the resources.,neutral
The cave is dark and cool.,neutral
I will order more supplies.,neutral
The button is missing.,neutral
He is testing the sample.,neutral
The play has three acts.,neutral
I have to defrost the freezer.,neutral
The lace is untied.,neutral
She is auditing the accounts.,neutral
The waterfall is spectacular.,neutral
I will sign the document.,neutral
The patch is holding well.,neutral
He is observing the process.,neutral
The lecture is open to all.,neutral
I need to polish the silver.,neutral
The strap is adjustable.,neutral
She is briefing the staff.,neutral
The glacier is slowly melting.,neutral
I will make the necessary changes.,neutral
The seal is intact.,neutral
He is piloting the drone.,neutral
The trial is scheduled for Monday.,neutral
I have to clean the gutters.,neutral
The cork is in the bottle.,neutral
She is moderating the discussion.,neutral
The canyon is very deep.,neutral
I will print the directions.,neutral
The clamp is secure.,neutral
He is navigating the website.,neutral
The recital begins at eight.,neutral
I need to mow the lawn.,neutral
The magnet is powerful.,neutral
She is evaluating the proposals.,neutral
The volcano is dormant.,neutral
I will register for the class.,neutral
The spring is coiled tightly.,neutral
He is operating the machinery.,neutral
The auction is tomorrow.,neutral
I have to stain the deck.,neutral
The washer is the wrong size.,neutral
She is introducing the speaker.,neutral
The peninsula is rocky.,neutral
I will check the availability.,neutral
The lever is in the up position.,neutral
He is programming the device.,neutral
The competition is fierce.,neutral
I need to seal the envelope.,neutral
The gasket is worn out.,neutral
She is presenting the findings.,neutral
The oasis is a welcome sight.,neutral
I will clarify the instructions.,neutral
The piston moves smoothly.,neutral
He is scanning the document.,neutral
The performance received good reviews.,neutral
I have to wax the floor.,neutral
The bearing needs grease.,neutral
She is convening the committee.,neutral
The plateau is flat and wide.,neutral
I will acknowledge receipt.,neutral
The valve is open.,neutral
He is synthesizing the information.,neutral
The ceremony is formal.,neutral
I need to glue this back together.,neutral
The circuit is complete.,neutral
She is facilitating the workshop.,neutral
The savanna is home to many animals.,neutral
I will notify everyone.,neutral
The fuse is blown.,neutral
He is editing the footage.,neutral
The reception is at six o'clock.,neutral
I have to prune the roses.,neutral
The diode is emitting light.,neutral
She is mediating the dispute.,neutral
The tundra is a vast plain.,neutral
I will compile the list.,neutral
The transistor is functioning.,neutral
He is annotating the text.,neutral
The banquet is in the main hall.,neutral
I need to solder this connection.,neutral
The capacitor stores charge.,neutral
She is summarizing the chapter.,neutral
The reef is teeming with life.,neutral
I will process the order.,neutral
The resistor limits the current.,neutral
He is paraphrasing the paragraph.,neutral
The gala is a black-tie event.,neutral
I have to stain the fence.,neutral
The microchip is tiny.,neutral
She is quoting the source.,neutral
The delta is where the river meets the sea.,neutral
I will track the shipment.,neutral
The sensor is activated.,neutral
He is citing his references.,neutral
The symposium is next week.,neutral
I need to adjust the alignment.,neutral
The actuator is responding.,neutral
She is concluding her speech.,neutral
The fjord is a deep inlet.,neutral
I will verify the address.,neutral
The controller is programmable.,neutral
He is abstracting the key points.,neutral
The carnival is colorful and loud.,neutral
I have to clean the chimney.,neutral
The converter changes the signal.,neutral
She is proposing a new idea.,neutral
The archipelago has many islands.,neutral
I will double-check the figures.,neutral
The encoder sends data.,neutral
He is revising the draft.,neutral
The masquerade requires a mask.,neutral
I need to tighten this screw.,neutral
The decoder receives the signal.,neutral
She is outlining the project.,neutral
The butte stands alone on the plain.,neutral
I will ship it today.,neutral
The multiplexer combines inputs.,neutral
He is finalizing the report.,neutral
The regatta is a boat race.,neutral
I have to paint the trim.,neutral
The oscillator generates a frequency.,neutral
She is initiating the process.,neutral
The atoll is a ring-shaped coral reef.,neutral
I will respond promptly.,neutral
